dataset,embedding,model,accuracy,macro_f1,seed
20news_group,bow,nb,0.6594,0.6375,42
20news_group,bow,rf,0.6438,0.6237,42
20news_group,bow,nb,0.6594,0.6375,42
20news_group,bow,nb,0.6594,0.6375,42
20news_group,bow,nb,0.6594,0.6375,42
20news_group,bow,rf,0.6438,0.6237,42
20news_group,bow,rf,0.6438,0.6237,42
20news_group,bow,rf,0.6438,0.6237,42
20news_group,bow,mlp,0.665,0.657,42
20news_group,bow,mlp,0.665,0.657,42
20news_group,bow,mlp,0.665,0.657,42
20news_group,bow,logreg,0.6602,0.6532,42
20news_group,bow,logreg,0.6602,0.6532,42
20news_group,bow,logreg,0.6602,0.6532,42
20news_group,tfidf,nb,0.7024,0.6752,42
20news_group,tfidf,nb,0.7024,0.6752,42
20news_group,tfidf,nb,0.7024,0.6752,42
20news_group,tfidf,rf,0.6403,0.6199,42
20news_group,tfidf,rf,0.6403,0.6199,42
20news_group,tfidf,rf,0.6403,0.6199,42
20news_group,tfidf,mlp,0.7186,0.7124,42
20news_group,tfidf,mlp,0.7186,0.7124,42
20news_group,tfidf,mlp,0.7186,0.7124,42
20news_group,tfidf,logreg,0.7175,0.7058,42
20news_group,tfidf,logreg,0.7175,0.7058,42
20news_group,tfidf,logreg,0.7175,0.7058,42
20news_group,word2vec,nb,0.305,0.2446,42
20news_group,word2vec,nb,0.3045,0.2438,42
20news_group,word2vec,nb,0.2952,0.2326,42
20news_group,word2vec,rf,0.4058,0.3895,42
20news_group,word2vec,rf,0.4064,0.3881,42
20news_group,word2vec,rf,0.3939,0.3784,42
20news_group,word2vec,mlp,0.461,0.4455,42
20news_group,word2vec,mlp,0.4637,0.4469,42
20news_group,word2vec,mlp,0.4621,0.4444,42
20news_group,word2vec,logreg,0.4666,0.4471,42
20news_group,word2vec,logreg,0.465,0.4446,42
20news_group,word2vec,logreg,0.461,0.4415,42
20news_group,glove,nb,0.3546,0.297,42
20news_group,bow,nb,0.6594,0.6375,42
20news_group,bow,rf,0.6438,0.6237,42
20news_group,bow,mlp,0.665,0.657,42
20news_group,bow,logreg,0.6602,0.6532,42
20news_group,tfidf,nb,0.7024,0.6752,42
20news_group,tfidf,rf,0.6403,0.6199,42
20news_group,tfidf,mlp,0.7186,0.7124,42
20news_group,tfidf,logreg,0.7175,0.7058,42
20news_group,word2vec,nb,0.3061,0.2437,42
20news_group,word2vec,rf,0.4085,0.3891,42
20news_group,word2vec,mlp,0.4639,0.4488,42
20news_group,word2vec,logreg,0.461,0.4406,42
20news_group,glove,nb,0.3546,0.297,42
20news_group,glove,rf,0.5164,0.4981,42
20news_group,glove,mlp,0.5912,0.5782,42
20news_group,glove,logreg,0.5851,0.5659,42
20news_group,bow,nb,0.6594,0.6375,42
20news_group,bow,rf,0.6438,0.6237,42
20news_group,bow,mlp,0.665,0.657,42
20news_group,bow,logreg,0.6602,0.6532,42
20news_group,tfidf,nb,0.7024,0.6752,42
20news_group,tfidf,rf,0.6403,0.6199,42
20news_group,tfidf,mlp,0.7186,0.7124,42
20news_group,tfidf,logreg,0.7175,0.7058,42
20news_group,word2vec,nb,0.2997,0.2393,42
20news_group,word2vec,rf,0.3995,0.3808,42
20news_group,word2vec,mlp,0.4631,0.4463,42
20news_group,word2vec,logreg,0.4687,0.4487,42
20news_group,glove,nb,0.3546,0.297,42
20news_group,glove,rf,0.5164,0.4981,42
20news_group,glove,mlp,0.5912,0.5782,42
20news_group,glove,logreg,0.5851,0.5659,42
